,crisis_name,matched_outlet,coverage_count,start_date,fund_required,people_affected,crisis_days,coverage_per_day,coverage_per_funding,coverage_per_people
219,Myanmar,News.com.au,2,8/1/2017,1.1,19.9,2748,0.000727802037845706,1.8181818181818181,0.10050251256281408
220,Myanmar,Newsweek,10,8/1/2017,1.1,19.9,2748,0.00363901018922853,9.09090909090909,0.5025125628140704
221,Myanmar,RT,5,8/1/2017,1.1,19.9,2748,0.001819505094614265,4.545454545454545,0.2512562814070352
222,Myanmar,Reuters,190,8/1/2017,1.1,19.9,2748,0.06914119359534207,172.72727272727272,9.547738693467338
223,Myanmar,Sky News,29,8/1/2017,1.1,19.9,2748,0.010553129548762736,26.36363636363636,1.4572864321608041
224,Myanmar,Sydney Morning Herald ,14,8/1/2017,1.1,19.9,2748,0.005094614264919942,12.727272727272727,0.7035175879396985
225,Myanmar,The Evening Standard,6,8/1/2017,1.1,19.9,2748,0.002183406113537118,5.454545454545454,0.30150753768844224
226,Myanmar,The Globe and Mail,16,8/1/2017,1.1,19.9,2748,0.005822416302765648,14.545454545454545,0.8040201005025126
227,Myanmar,The Guardian,206,8/1/2017,1.1,19.9,2748,0.07496360989810771,187.27272727272725,10.35175879396985
228,Myanmar,The Independent,47,8/1/2017,1.1,19.9,2748,0.01710334788937409,42.72727272727273,2.361809045226131
229,Myanmar,The Sun,1,8/1/2017,1.1,19.9,2748,0.000363901018922853,0.9090909090909091,0.05025125628140704
230,Myanmar,The Telegraph,23,8/1/2017,1.1,19.9,2748,0.008369723435225618,20.909090909090907,1.155778894472362
231,Myanmar,USA Today,5,8/1/2017,1.1,19.9,2748,0.001819505094614265,4.545454545454545,0.2512562814070352
232,Myanmar,Wall Street Journal,31,8/1/2017,1.1,19.9,2748,0.011280931586608443,28.18181818181818,1.5577889447236182
233,Myanmar,Washington Post,25,8/1/2017,1.1,19.9,2748,0.009097525473071324,22.727272727272727,1.256281407035176
234,Myanmar,yahoo,12,8/1/2017,1.1,19.9,2748,0.004366812227074236,10.909090909090908,0.6030150753768845
235,Sudan,ABC News,78,4/1/2023,10.28,30.4,679,0.11487481590574374,7.587548638132296,2.5657894736842106
236,Sudan,AP News,36,4/1/2023,10.28,30.4,679,0.053019145802650956,3.5019455252918292,1.1842105263157896
237,Sudan,Al Jazeera,374,4/1/2023,10.28,30.4,679,0.5508100147275405,36.38132295719845,12.302631578947368
238,Sudan,BBC,190,4/1/2023,10.28,30.4,679,0.27982326951399117,18.482490272373543,6.25
239,Sudan,Birmigham Live,1,4/1/2023,10.28,30.4,679,0.0014727540500736377,0.09727626459143969,0.03289473684210526
240,Sudan,Business Insider,8,4/1/2023,10.28,30.4,679,0.011782032400589101,0.7782101167315175,0.2631578947368421
241,Sudan,CBC (Canadian Broadcasting Corporation),17,4/1/2023,10.28,30.4,679,0.025036818851251842,1.6536964980544748,0.5592105263157895
242,Sudan,CBS News,87,4/1/2023,10.28,30.4,679,0.12812960235640647,8.463035019455253,2.861842105263158
243,Sudan,CNBC,5,4/1/2023,10.28,30.4,679,0.007363770250368188,0.4863813229571985,0.16447368421052633
244,Sudan,CNN,108,4/1/2023,10.28,30.4,679,0.15905743740795286,10.505836575875486,3.5526315789473686
245,Sudan,CTV News,6,4/1/2023,10.28,30.4,679,0.008836524300441826,0.5836575875486382,0.19736842105263158
246,Sudan,Daily Express,4,4/1/2023,10.28,30.4,679,0.005891016200294551,0.38910505836575876,0.13157894736842105
247,Sudan,Daily Record,1,4/1/2023,10.28,30.4,679,0.0014727540500736377,0.09727626459143969,0.03289473684210526
248,Sudan,Forbes,8,4/1/2023,10.28,30.4,679,0.011782032400589101,0.7782101167315175,0.2631578947368421
249,Sudan,Fox News,43,4/1/2023,10.28,30.4,679,0.06332842415316642,4.182879377431907,1.4144736842105263
250,Sudan,IRNA (Islamic Iranian News Agency),1,4/1/2023,10.28,30.4,679,0.0014727540500736377,0.09727626459143969,0.03289473684210526
251,Sudan,ITV,38,4/1/2023,10.28,30.4,679,0.055964653902798235,3.6964980544747084,1.25
252,Sudan,MSN,38,4/1/2023,10.28,30.4,679,0.055964653902798235,3.6964980544747084,1.25
253,Sudan,Mail Online,68,4/1/2023,10.28,30.4,679,0.10014727540500737,6.614785992217899,2.236842105263158
254,Sudan,Manchester Evening News,1,4/1/2023,10.28,30.4,679,0.0014727540500736377,0.09727626459143969,0.03289473684210526
255,Sudan,Metro,5,4/1/2023,10.28,30.4,679,0.007363770250368188,0.4863813229571985,0.16447368421052633
256,Sudan,Mirror,4,4/1/2023,10.28,30.4,679,0.005891016200294551,0.38910505836575876,0.13157894736842105
257,Sudan,NBC News,26,4/1/2023,10.28,30.4,679,0.03829160530191458,2.5291828793774322,0.8552631578947368
258,Sudan,NYT,163,4/1/2023,10.28,30.4,679,0.24005891016200295,15.85603112840467,5.361842105263158
259,Sudan,New York Post,5,4/1/2023,10.28,30.4,679,0.007363770250368188,0.4863813229571985,0.16447368421052633
260,Sudan,News.com.au,7,4/1/2023,10.28,30.4,679,0.010309278350515464,0.6809338521400778,0.23026315789473686
261,Sudan,Newsweek,39,4/1/2023,10.28,30.4,679,0.05743740795287187,3.793774319066148,1.2828947368421053
262,Sudan,RT,3,4/1/2023,10.28,30.4,679,0.004418262150220913,0.2918287937743191,0.09868421052631579
263,Sudan,Reuters,142,4/1/2023,10.28,30.4,679,0.20913107511045656,13.813229571984436,4.671052631578948
